Season,Team,Player,Pos,TotalPoints,TotalPointsAboveAvg
2021,Utah State,Jacob South,RT,9,-4
2021,Utah State,Cash Gilliam,LB,9,-23
2021,Utah State,Cole Motes,RT,8,-9
2021,Utah State,AJ Vongphachanh,LB,8,-14
2021,Utah State,Patrick Joyner Jr,Edge,6,-12
2021,Utah State,Dominic Tatum,S,6,-1
2021,Utah State,Falepule Alo,C,5,-1
2021,Utah State,Justin McGriff,WR,5,-7
2021,Utah State,Phil Paea,IDL,4,-7
2021,Utah State,Poukesi Vakauta,IDL,4,-7
2021,Utah State,Kevin Meitzenheimer,LB,4,-10
2021,Utah State,Josh Sterzer,TE,3,0
2021,Utah State,Wade Meacham,LG,2,-1
2021,Utah State,Savon Scarver,WR,0,-2
2021,Utah State,Jordan Nathan,WR,0,-2
2021,Utah State,Calvin Tyler Jr.,RB,-1,-13
2021,Utah State,John Gentry,RB,-5,-8
2021,Utah State,Elelyon Noa,RB,-7,-15
2021,UTSA,Frank Harris,QB,98,42
2021,UTSA,Clarence Hicks,Edge,33,9
2021,UTSA,Corey Mayfield Jr.,CB,30,5
2021,UTSA,Ahofitu Maka,C,30,5
2021,UTSA,Spencer Burford,LT,27,5
2021,UTSA,Terrell Haynes,LG,24,1
2021,UTSA,Rashad Wisdom,S,24,-4
2021,UTSA,Zakhari Franklin,WR,23,13
2021,UTSA,Charles Wiley,Edge,22,-3
2021,UTSA,Makai Hart,RT,22,3
2021,UTSA,Jamal Ligon,LB,22,3
2021,UTSA,Oscar Cardenas,TE,21,5
2021,UTSA,Lorenzo Dantzler,IDL,20,4
2021,UTSA,Kevin Davis,RG,19,5
2021,UTSA,Brandon Rolfe,LG,19,4
2021,UTSA,De'Corian Clark,WR,19,10
2021,UTSA,Dadrian Taylor,LB,17,1
2021,UTSA,Leroy Watson,TE,16,1
2021,UTSA,Ken Robinson,CB,15,-9
2021,UTSA,Tariq Woolen,CB,15,-1
2021,UTSA,Denzel Feaster,LB,15,3
2021,UTSA,Joshua Cephus,WR,14,2
2021,UTSA,Trumane Bell II,IDL,13,1
2021,UTSA,Dru Prox,LB,13,8
2021,UTSA,Brandon Brown,IDL,13,-2
2021,UTSA,Trevor Harmanson,LB,12,-13
2021,UTSA,Jahmal Sam,S,12,-1
2021,UTSA,Jaylon Haynes,IDL,10,-6
2021,UTSA,Clifford Chattman,S,10,6
2021,UTSA,Christian Clayton,IDL,9,-1
2021,UTSA,Brandon Matterson,IDL,9,-5
2021,UTSA,Jaylan Galmore,RT,7,-3
2021,UTSA,Kelechi Nwachuku,S,7,-2
2021,UTSA,Asyrus Simon,IDL,4,-10
2021,UTSA,Dominic Pastucci,RG,3,0
2021,UTSA,DeQuarius Henry,Edge,3,-8
2021,UTSA,Tyler Mahnke,LB,3,-2
2021,UTSA,Lamonte McDougle,IDL,3,-5
2021,UTSA,Demetris Allen,LT,2,-4
2021,UTSA,Tykee Ogle-Kellogg,WR,2,-1
2021,UTSA,Antonio Parks,S,1,-30
2021,UTSA,Donyai Taylor,LB,1,-6
2021,UTSA,Tre'von Bradley,WR,-2,-5
2021,UTSA,Brenden Brady,RB,-5,-10
2021,UTSA,Sincere McCormick,RB,-10,-26
2021,Wake Forest,Sam Hartman,QB,122,50
2021,Wake Forest,Traveon Redd,S,61,32
2021,Wake Forest,Zach Tom,LT,47,19
2021,Wake Forest,Ja'Sir Taylor,CB,38,7
2021,Wake Forest,Rondell Bothroyd,Edge,35,9
2021,Wake Forest,Loic Ngassam Nya,RG,32,5
2021,Wake Forest,Sean Maginn,LG,32,4
2021,Wake Forest,Luke Masterson,LB,31,4
2021,Wake Forest,DeVonte Gordon,RT,31,3
2021,Wake Forest,Michael Jurgens,C,30,6
2021,Wake Forest,A.T. Perry,WR,30,19
2021,Wake Forest,Ryan Smenda Jr,LB,25,6
2021,Wake Forest,Chase Jones,LB,23,5
2021,Wake Forest,Nick Andersen,S,23,2
2021,Wake Forest,Caelen Carson,CB,23,6
2021,Wake Forest,Malik Mustapha,S,21,10
2021,Wake Forest,Jasheen Davis,Edge,20,3
2021,Wake Forest,Jaquarii Roberson,WR,20,11
2021,Wake Forest,Zion Keith,CB,19,-1
2021,Wake Forest,Luiji Vilain,Edge,18,0
2021,Wake Forest,Blake Whiteheart,TE,18,4
2021,Wake Forest,Gavin Holmes,CB,17,-3
2021,Wake Forest,Nasir Greer,S,15,9
2021,Wake Forest,Miles Fox,IDL,14,-8
2021,Wake Forest,J.J. Roberts,CB,11,3
2021,Wake Forest,Evan Slocum,S,11,3
2021,Wake Forest,Jacorey Johns,Edge,10,2
2021,Wake Forest,Ke'Shawn Williams,WR,9,6
2021,Wake Forest,Donald Stewart,WR,8,1
2021,Wake Forest,Coby Davis,CB,8,2
2021,Wake Forest,Dion Bergan Jr,IDL,8,-9
2021,Wake Forest,Taylor Morin,WR,8,-2
2021,Wake Forest,DJ Taylor,LB,8,0
2021,Wake Forest,Brandon Chapman,TE,8,-4
2021,Wake Forest,Chelen Garnes,S,5,-1
2021,Wake Forest,Christian Beal-Smith,RB,4,-4
2021,Wake Forest,Isaiah Wingfield,CB,4,-2
2021,Wake Forest,AJ Williams,S,3,-1
2021,Wake Forest,Luke Petitbon,RG,3,-1
2021,Wake Forest,Kendron Wayman,Edge,1,-4
2021,Wake Forest,Justice Ellison,RB,1,-5
2021,Wake Forest,Sulaiman Kamara,IDL,1,-15
2021,Wake Forest,Kevin Pointer,IDL,1,-2
2021,Wake Forest,Tyler Williams,IDL,0,-6
2021,Wake Forest,Jahmal Banks,WR,-1,-3
2021,Wake Forest,Quinton Cooley,RB,-2,-5
2021,Wake Forest,Christian Turner,RB,-11,-19
2022,Air Force,John Lee Eldridge III,RB,48,34
2022,Air Force,Isaac Cochran,RG,47,20
2022,Air Force,Trey Taylor,S,36,5
2022,Air Force,Jayden Goodwin,S,35,8
2022,Air Force,Haaziq Daniels,QB,33,15
2022,Air Force,Thor Paglialong,C,33,11
2022,Air Force,Everett Smalley,LT,31,4
2022,Air Force,Alec Mock,LB,29,5
2022,Air Force,Michael Mack,CB,28,5
2022,Air Force,Camby Goff,CB,28,-2
2022,Air Force,Adam Karas,RT,27,10
2022,Air Force,Payton Zdroik,IDL,25,1
2022,Air Force,Wesley Ndago,LG,24,6
2022,Air Force,Vince Sanford,Edge,23,-4
2022,Air Force,David Cormier,WR,20,12
2022,Air Force,TD Blackmon,LB,19,-8
2022,Air Force,Kaleb Holcomb,RT,19,6
2022,Air Force,Caleb Rillos,TE,18,1
2022,Air Force,Eian Castonguay,CB,18,-8
2022,Air Force,Bo Richter,Edge,17,0
2022,Air Force,Ben Jefferson,RB,14,-1
2022,Air Force,Jayden Thiergood,IDL,14,-8
2022,Air Force,Steven Iles,C,11,6
2022,Air Force,Ayden McCollough,LG,10,5
2022,Air Force,Amari Terry,RB,9,4
2022,Air Force,Jamari Bellamy,CB,9,-5
2022,Air Force,Christopher Herrera,Edge,8,-19
2022,Air Force,PJ Ramsey,Edge,8,1
2022,Air Force,Kyle Patterson,TE,8,3
2022,Air Force,Johnathan Youngblood,LB,7,-5
2022,Air Force,Ethan Jackman,LG,6,1
2022,Air Force,DeAndre Hughes,RB,4,-1
2022,Air Force,Brandon Engel,WR,3,1
2022,Air Force,Kalawai'a Pescaia,IDL,-2,-11
2022,Air Force,Omar Fattah,FB,-7,-9
2022,Air Force,Brad Roberts,FB,-7,-19
2022,Alabama,Bryce Young,QB,124,69
2022,Alabama,Brian Branch,CB,70,42
2022,Alabama,Kool-Aid McKinstry,CB,55,23
2022,Alabama,Jahmyr Gibbs,RB,44,34
2022,Alabama,Demarcco Hellams,S,44,11
2022,Alabama,Jordan Battle,S,41,7
2022,Alabama,Will Anderson Jr.,Edge,39,15
2022,Alabama,JC Latham,RT,35,10
2022,Alabama,Henry To'oTo'o,LB,33,3
2022,Alabama,Byron Young,IDL,29,10
2022,Alabama,Dallas Turner,Edge,28,5
2022,Alabama,Tyler Steen,LT,27,2
2022,Alabama,Terrion Arnold,CB,24,4
2022,Alabama,Jase McClellan,RB,23,16
2022,Alabama,Emil Ekiyor Jr.,RG,22,1
2022,Alabama,Jaylen Moody,LB,20,8
2022,Alabama,Javion Cohen,LG,20,5
2022,Alabama,Seth McLaughlin,C,20,2
2022,Alabama,Eli Ricks,CB,20,5
2022,Alabama,Jermaine Burton,WR,19,9
2022,Alabama,Chris Braswell,Edge,19,6
2022,Alabama,Ja'Corey Brooks,WR,18,10
2022,Alabama,Deontae Lawson,LB,18,1
2022,Alabama,Cameron Latu,TE,18,-2
2022,Alabama,Jaheim Oatis,IDL,12,0
2022,Alabama,Tyler Booker,LG,12,-1
2022,Alabama,Malachi Moore,CB,11,-2
2022,Alabama,DJ Dale,IDL,10,-3
2022,Alabama,Darrian Dalcourt,C,8,-1
2022,Alabama,Kobe Prentice,WR,8,4
2022,Alabama,Justin Eboigbe,IDL,7,2
2022,Alabama,Kendall Randolph,TE,7,1
2022,Alabama,Tim Smith,IDL,6,-6
2022,Alabama,Traeshon Holden,WR,5,0
2022,Alabama,Isaiah Bond,WR,4,-1
2022,Alabama,Robbie Ouzts,TE,4,-1
2022,Alabama,Kendrick Law,WR,3,0
2022,Alabama,Jalen Milroe,QB,2,-7
2022,Alabama,JoJo Earle,WR,2,-1
2022,Alabama,Jamil Burroughs,IDL,2,-4
2022,Alabama,Jah-Marien Latham,IDL,1,-3
2022,Alabama,Roydell Williams,RB,-2,-5
2022,Clemson,DJ Uiagalelei,QB,92,39
2022,Clemson,Jeremiah Trotter Jr.,LB,58,31
2022,Clemson,Barrett Carter,LB,53,21
2022,Clemson,K.J. Henry,Edge,49,24
2022,Clemson,Nate Wiggins,CB,43,13
2022,Clemson,Jordan McFadden,LT,35,7
2022,Clemson,Sheridan Jones,CB,32,12
2022,Clemson,Tyler Davis,IDL,32,13
2022,Clemson,Trenton Simpson,LB,32,8
2022,Clemson,Jalyn Phillips,S,30,3
2022,Clemson,Myles Murphy,Edge,29,7
2022,Clemson,Will Putnam,C,28,0
2022,Clemson,Walker Parks,RG,28,2
2022,Clemson,Ruke Orhorhoro,IDL,26,7
2022,Clemson,Blake Miller,RT,26,-2
2022,Clemson,R.J. Mickens,S,24,4
2022,Clemson,Phil Mafah,RB,22,17
2022,Clemson,Marcus Tate,LG,21,1
2022,Clemson,Bryan Bresee,IDL,18,6
2022,Clemson,Will Shipley,RB,18,6
2022,Clemson,Toriano Pride Jr.,CB,17,4
2022,Clemson,Davis Allen,TE,17,1
2022,Clemson,Malcolm Greene,CB,15,11
2022,Clemson,Cade Klubnik,QB,15,-1
2022,Clemson,Jake Briningstool,TE,13,4
2022,Clemson,Payton Page,IDL,12,4
2022,Clemson,Keith Maguire,LB,12,3
2022,Clemson,Tyler Venables,S,11,1
2022,Clemson,Wade Woodaz,LB,11,4
2022,Clemson,Tre Williams,IDL,11,5
2022,Clemson,Justin Mascoll,Edge,10,-1
2022,Clemson,Mitchell Mayes,LG,10,-1
2022,Clemson,Antonio Williams,WR,9,0
2022,Clemson,Joseph Ngata,WR,8,-1
2022,Clemson,Beaux Collins,WR,5,0
2022,Clemson,LaVonta Bentley,LB,4,-2
2022,Clemson,Andrew Mukuba,S,4,-20
2022,Clemson,Adam Randall,WR,3,-1
2022,Clemson,Brannon Spector,WR,3,0
2022,Clemson,Cole Turner,WR,2,1
2022,Clemson,Fred Davis,CB,2,-5
2022,Clemson,Sherrod Covil Jr.,S,2,-4
2022,Clemson,Kevin Swint,Edge,-1,-7
2022,Clemson,E.J. Williams Jr.,WR,-2,-5
2022,Clemson,Kobe Pace,RB,-6,-8
2022,Florida State,Jordan Travis,QB,165,113
2022,Florida State,Jammie Robinson,S,45,15
2022,Florida State,Trey Benson,RB,43,36
2022,Florida State,Renardo Green,CB,42,19
2022,Florida State,Jared Verse,Edge,41,25
2022,Florida State,Tatum Bethune,LB,38,20
2022,Florida State,D'Mitri Emmanuel,RG,29,5
2022,Florida State,Patrick Payton,Edge,29,15
2022,Florida State,Dillan Gibbons,LG,28,3
2022,Florida State,Maurice Smith,C,27,3
2022,Florida State,Jarrian Jones,CB,24,9
2022,Florida State,Greedy Vance Jr.,CB,24,12
2022,Florida State,Johnny Wilson,WR,23,14
2022,Florida State,Shyheim Brown,S,22,5
2022,Florida State,Jazston Turnetine,RT,19,0
2022,Florida State,Treshaun Ward,RB,19,13
2022,Florida State,Akeem Dent Sr.,S,18,-4
2022,Florida State,DJ Lundy,LB,17,2
2022,Florida State,Robert Scott Jr.,LT,17,-3
2022,Florida State,Mycah Pittman,WR,16,9
2022,Florida State,Derrick McLendon,Edge,14,-6
2022,Florida State,Camren McDonald,TE,14,1
2022,Florida State,Malcolm Ray,IDL,14,1
2022,Florida State,Markeston Douglas,TE,13,1
2022,Florida State,Darius Washington,RT,13,-1
2022,Florida State,Ontaria Wilson,WR,13,6
2022,Florida State,Fabien Lovett Sr.,IDL,10,2
2022,Florida State,Leonard Warner III,Edge,10,-2
2022,Florida State,Kevin Knowles II,CB,8,-12
2022,Florida State,Kalen DeLoach,LB,8,-14
2022,Florida State,Joshua Farmer,IDL,8,-5
2022,Florida State,Omarion Cooper,CB,7,-6
2022,Florida State,Brendan Gant,LB,6,-1
2022,Florida State,Kentron Poitier,WR,6,4
2022,Florida State,Azareye'h Thomas,CB,6,-7
2022,Florida State,Preston Daniel,TE,6,0
2022,Florida State,Dennis Briggs Jr.,IDL,5,-9
2022,Florida State,Ja'khi Douglas,WR,4,2
2022,Florida State,Malik McClain,WR,4,0
2022,Florida State,Tate Rodemaker,QB,4,-1
2022,Florida State,Jarrett Jackson,IDL,3,-3
2022,Florida State,Bryson Estes,LG,3,0
2022,Florida State,Jarques McClellion,S,3,-2
2022,Florida State,Robert Cooper,IDL,2,-13
2022,Florida State,Deuce Spann,WR,2,-1
2022,Florida State,Lawrance Toafili,RB,-1,-8
2022,Georgia,Stetson Bennett,QB,107,44
2022,Georgia,Brock Bowers,TE,51,30
2022,Georgia,Kelee Ringo,CB,51,15
2022,Georgia,Christopher Smith,S,50,16
2022,Georgia,Malaki Starks,S,47,11
2022,Georgia,Jalen Carter,IDL,46,30
2022,Georgia,Smael Mondon Jr.,LB,45,18
2022,Georgia,Javon Bullard,CB,42,15
2022,Georgia,Kamari Lassiter,CB,42,7
2022,Georgia,Kenny McIntosh,RB,41,31
2022,Georgia,Broderick Jones,LT,38,11
2022,Georgia,Sedrick Van Pran,C,37,8
2022,Georgia,Darnell Washington,TE,34,15
2022,Georgia,Tate Ratledge,RG,33,8
2022,Georgia,Mykel Williams,Edge,30,13
2022,Georgia,Jamon Dumas-Johnson,LB,30,2
2022,Georgia,Warren McClendon,RT,28,7
2022,Georgia,Robert Beal Jr.,Edge,26,5
2022,Georgia,Kendall Milton,RB,24,19
2022,Georgia,Xavier Truss,LG,24,2
2022,Georgia,Nolan Smith,Edge,22,14
2022,Georgia,Nazir Stackhouse,IDL,22,3
2022,Georgia,Ladd McConkey,WR,21,11
2022,Georgia,Tykee Smith,CB,21,11
2022,Georgia,Warren Brinson,IDL,20,9
2022,Georgia,Amarius Mims,RT,18,6
2022,Georgia,Devin Willock,LG,17,4
2022,Georgia,Zion Logue,IDL,15,2
2022,Georgia,Tyrion Ingram-Dawkins,Edge,13,5
2022,Georgia,Marcus Rosemy-Jacksaint,WR,12,3
2022,Georgia,Trezmen Marshall,LB,12,5
2022,Georgia,Bear Alexander,IDL,12,5
2022,Georgia,Dan Jackson,S,11,6
2022,Georgia,Tramel Walthour,Edge,10,-2
2022,Georgia,Daylen Everette,CB,9,2
2022,Georgia,Chaz Chambliss,Edge,9,-1
2022,Georgia,Kearis Jackson,WR,9,6
2022,Georgia,Rian Davis,LB,9,1
2022,Georgia,David Daniel-Sisavanh,S,7,-1
2022,Georgia,Daijuan Edwards,RB,7,0
2022,Georgia,Dominick Blaylock,WR,6,3
2022,Georgia,Arian Smith,WR,6,4
2022,Georgia,Jalon Walker,Edge,6,1
2022,Georgia,Warren Ericson,C,5,0
2022,Georgia,Oscar Delp,TE,4,0
2022,Georgia,Jackson Meeks,WR,3,1
2022,Georgia,Dillon Bell,WR,1,-4
2022,Georgia,Adonai Mitchell,WR,1,-2
2022,Georgia,Branson Robinson,RB,-2,-5
2022,James Madison,Todd Centeio,QB,104,66
2022,James Madison,James Carpenter,IDL,45,18
2022,James Madison,Jailin Walker,LB,41,19
2022,James Madison,Jamare Edwards,IDL,40,19
2022,James Madison,Isaac Ukwu,Edge,35,12
2022,James Madison,Taurus Jones,LB,33,8
2022,James Madison,Jordan Swann,CB,24,1
2022,James Madison,Kris Thornton,WR,24,16
2022,James Madison,Nick Kidwell,RT,23,7
2022,James Madison,Abi Nwabuoku-Okonji,Edge,23,11
2022,James Madison,Tyler Stephens,LG,22,0
2022,James Madison,Cole Potts,RG,21,2
2022,James Madison,Drew Painter,TE,20,7
2022,James Madison,Jalen Green,Edge,19,9
2022,James Madison,Tyshawn Wyatt,LT,18,-3
2022,James Madison,Devyn Coles,CB,17,10
2022,James Madison,Tanner Morris,C,17,-5
2022,James Madison,Sam Kidd,S,16,1
2022,James Madison,Josh Sarratt,S,15,-2
2022,James Madison,Percy Agyei-Obese,RB,15,8
2022,James Madison,Zach Horton,TE,14,3
2022,James Madison,Jarius Reimonenq,CB,13,1
2022,James Madison,Que Reid,S,12,1
2022,James Madison,Terrance Greene Jr.,WR,12,7
2022,James Madison,Jamree Kromah,IDL,10,-1
2022,James Madison,Chauncey Logan,CB,10,-8
2022,James Madison,Mikail Kamara,Edge,7,1
2022,James Madison,Reggie Brown,WR,6,2
2022,James Madison,Devin Ravenel,WR,6,-1
2022,James Madison,Francis Meehan,S,6,-6
2022,James Madison,Trent Hendrick,LB,5,0
2022,James Madison,Brent Austin,CB,5,-2
2022,James Madison,Josh Toner,LG,4,-6
2022,James Madison,Chris Chukwuneke,CB,2,-11
2022,James Madison,Kaelon Black,RB,-3,-7
2022,James Madison,Billy Atkins,QB,-7,-14
2022,James Madison,Latrele Palmer,RB,-10,-15
2022,Michigan,J.J. McCarthy,QB,98,50
2022,Michigan,Blake Corum,RB,59,50
2022,Michigan,Olusegun Oluwatimi,C,49,21
2022,Michigan,Kris Jenkins,IDL,46,24
2022,Michigan,Zak Zinter,RG,43,14
2022,Michigan,DJ Turner,CB,43,11
2022,Michigan,Michael Barrett,LB,41,14
2022,Michigan,Mazi Smith,IDL,40,14
2022,Michigan,Will Johnson,CB,35,15
2022,Michigan,Rod Moore,S,34,3
2022,Michigan,Ryan Hayes,LT,33,8
2022,Michigan,Trevor Keegan,LG,30,10
2022,Michigan,Donovan Edwards,RB,29,20
2022,Michigan,Junior Colson,LB,29,-1
2022,Michigan,Mike Morris,Edge,27,12
2022,Michigan,Mike Sainristil,CB,27,-1
2022,Michigan,Karsen Barnhart,RT,27,7
2022,Michigan,Luke Schoonmaker,TE,22,6
2022,Michigan,Makari Paige,S,21,1
2022,Michigan,Ronnie Bell,WR,21,11
2022,Michigan,Mason Graham,IDL,18,6
2022,Michigan,Gemon Green,CB,18,-1
2022,Michigan,R.J. Moten,S,16,-1
2022,Michigan,Jaylen Harrell,Edge,16,-2
2022,Michigan,Giovanni El-Hadi,LG,15,3
2022,Michigan,Trente Jones,RT,13,2
2022,Michigan,Eyabi Okie-Anoma,Edge,12,-1
2022,Michigan,Joel Honigford,TE,12,3
2022,Michigan,Colston Loveland,TE,12,1
2022,Michigan,Braiden McGregor,Edge,11,2
2022,Michigan,Roman Wilson,WR,10,5
2022,Michigan,Cornelius Johnson,WR,9,0
2022,Michigan,Taylor Upshaw,Edge,9,-2
2022,Michigan,Derrick Moore,Edge,6,-4
2022,Michigan,Max Bredeson,TE,6,0
2022,Michigan,Jeffrey Persi,LT,5,1
2022,Michigan,Rayshaun Benny,IDL,5,-2
2022,Michigan,Quinten Johnson,S,4,-2
2022,Michigan,Jimmy Rolder,LB,3,-3
2022,Michigan,Kenneth Grant,IDL,2,-3
2022,Michigan,Andrel Anthony,WR,0,-3
2022,Michigan,A.J. Henning,WR,-1,-2
2022,Michigan,Kalel Mullings,LB,-1,-8
2022,Ohio State,C.J. Stroud,QB,126,68
2022,Ohio State,Tommy Eichenberg,LB,61,30
2022,Ohio State,J.T. Tuimoloau,Edge,45,25
2022,Ohio State,Steele Chambers,LB,42,14
2022,Ohio State,Zach Harrison,Edge,41,22
2022,Ohio State,Ronnie Hickman,S,39,8
2022,Ohio State,Emeka Egbuka,WR,38,25
2022,Ohio State,Dawand Jones,RT,37,13
2022,Ohio State,Paris Johnson Jr.,LT,36,10
2022,Ohio State,Luke Wypler,C,35,9
2022,Ohio State,Donovan Jackson,LG,32,6
2022,Ohio State,Matthew Jones,RG,31,8
2022,Ohio State,Lathan Ransom,S,30,5
2022,Ohio State,Marvin Harrison Jr.,WR,29,18
2022,Ohio State,Miyan Williams,RB,27,20
2022,Ohio State,Tanner McCalister,CB,26,6
2022,Ohio State,Cade Stover,TE,22,2
2022,Ohio State,Jack Sawyer,Edge,20,7
2022,Ohio State,Tyleik Williams,IDL,18,9
2022,Ohio State,Ty Hamilton,IDL,18,5
2022,Ohio State,Julian Fleming,WR,16,6
2022,Ohio State,Cody Simon,LB,16,7
2022,Ohio State,JK Johnson,CB,15,-1
2022,Ohio State,Javontae Jean-Baptiste,Edge,15,5
2022,Ohio State,Jyaire Brown,CB,14,6
2022,Ohio State,Denzel Burke,CB,14,-9
2022,Ohio State,Taron Vincent,IDL,13,-7
2022,Ohio State,Michael Hall Jr.,IDL,12,1
2022,Ohio State,Dallan Hayden,RB,12,7
2022,Ohio State,Mitch Rossi,TE,11,3
2022,Ohio State,Xavier Johnson,WR,10,6
2022,Ohio State,Josh Fryar,RT,8,1
2022,Ohio State,Jerron Cage,IDL,7,-1
2022,Ohio State,Josh Proctor,S,7,-1
2022,Ohio State,Cameron Brown,CB,6,-8
2022,Ohio State,Jayden Ballard,WR,6,5
2022,Ohio State,TreVeyon Henderson,RB,4,-3
2022,Ohio State,Enokk Vimahi,LG,4,0
2022,Ohio State,Cameron Martinez,CB,2,-5
2022,Ohio State,Gee Scott Jr.,TE,0,-3
2022,Ohio State,Jordan Hancock,CB,0,-4
2022,Oregon,Bo Nix,QB,119,63
2022,Oregon,Christian Gonzalez,CB,61,34
2022,Oregon,Bennett Williams,CB,51,21
2022,Oregon,Bucky Irving,RB,50,42
2022,Oregon,Trikweze Bridges,CB,42,15
2022,Oregon,Alex Forsyth,C,39,17
2022,Oregon,Malaesala Aumavae-Laulu,RT,34,8
2022,Oregon,T.J. Bass,LT,34,9
2022,Oregon,DJ Johnson,Edge,29,13
2022,Oregon,Marcus Harper II,LG,28,9
2022,Oregon,Jeffrey Bassa,LB,28,4
2022,Oregon,Casey Rogers,IDL,27,10
2022,Oregon,Brandon Dorlus,Edge,26,2
2022,Oregon,Ryan Walk,RG,25,7
2022,Oregon,Troy Franklin,WR,19,9
2022,Oregon,Noah Sewell,LB,19,-4
2022,Oregon,Mase Funa,Edge,18,0
2022,Oregon,Steve Stephens IV,S,18,-5
2022,Oregon,Jackson Powers-Johnson,RG,17,7
2022,Oregon,Terrance Ferguson,TE,17,8
2022,Oregon,Jahlil Florence,CB,16,7
2022,Oregon,Jamal Hill,LB,15,-3
2022,Oregon,Dontae Manning,CB,15,6
2022,Oregon,Justin Flowe,LB,14,8
2022,Oregon,Keyon Ware-Hudson,IDL,13,0
2022,Oregon,Cam McCormick,TE,13,3
2022,Oregon,Jordon Riley,IDL,12,0
2022,Oregon,Noah Whittington,RB,12,5
2022,Oregon,Keith Brown,LB,12,3
2022,Oregon,Bryan Addison,S,11,-2
2022,Oregon,Moliki Matavao,TE,10,1
2022,Oregon,Steven Jones,RG,9,2
2022,Oregon,Bradyn Swinson,Edge,9,3
2022,Oregon,Taki Taimani,IDL,9,-2
2022,Oregon,Chase Cota,WR,7,0
2022,Oregon,Patrick Herbert,TE,6,2
2022,Oregon,Josh Conerly Jr.,LT,5,2
2022,Oregon,Kris Hutson,WR,5,-2
2022,Oregon,JJ Greenfield,S,4,-2
2022,Oregon,Sean Dollars,RB,3,1
2022,Oregon,Treven Ma'ae,Edge,3,-5
2022,Oregon,Dont'e Thornton Jr.,WR,2,-3
2022,Oregon,Keanu Williams,IDL,1,-3
2022,Oregon,Jackson LaDuke,LB,-1,-6
2022,Oregon,Seven McGee,WR,-6,-8
2022,Oregon State,Rejzohn Wright,CB,48,20
2022,Oregon State,Alex Austin,CB,45,16
2022,Oregon State,Kitan Oladapo,S,45,14
2022,Oregon State,Taliese Fuaga,RT,35,10
2022,Oregon State,Kyrei Fisher-Morris,LB,35,13
2022,Oregon State,Jaydon Grant,S,34,5
2022,Oregon State,Brandon Kipper,RG,33,7
2022,Oregon State,Jake Levengood,C,32,7
2022,Oregon State,Joshua Gray,LT,31,5
2022,Oregon State,Ryan Cooper Jr.,CB,29,3
2022,Oregon State,Omar Speights,LB,28,-2
2022,Oregon State,Ben Gulbranson,QB,26,-5
2022,Oregon State,James Rawls,IDL,23,1
2022,Oregon State,Chance Nolan,QB,23,6
2022,Oregon State,Sione Lolohea,Edge,22,8
2022,Oregon State,Andrew Chatfield Jr.,Edge,21,8
2022,Oregon State,Riley Sharp,Edge,20,8
2022,Oregon State,Heneli Bloomfield,LG,20,4
2022,Oregon State,Jack Colletto,LB,20,12
2022,Oregon State,Jam Griffin,RB,16,13
2022,Oregon State,Jake Overman,TE,15,-4
2022,Oregon State,John McCartan,Edge,15,-2
2022,Oregon State,Silas Bolden,WR,15,8
2022,Oregon State,Skyler Thomas,S,15,7
2022,Oregon State,Simon Sandberg,IDL,14,-8
2022,Oregon State,Damien Martinez,RB,14,5
2022,Oregon State,Tyjon Lindsey,WR,14,8
2022,Oregon State,Jack Velling,TE,12,2
2022,Oregon State,Anthony Gould,WR,10,4
2022,Oregon State,Isaac Hodgins,IDL,10,-5
2022,Oregon State,Jaden Robinson,CB,9,4
2022,Oregon State,Easton Mascarenas-Arnold,LB,9,-3
2022,Oregon State,Marco Brewer,LG,8,0
2022,Oregon State,Tanner Miller,LG,7,2
2022,Oregon State,Luke Musgrave,TE,6,3
2022,Oregon State,Cory Stover,Edge,6,-6
2022,Oregon State,Akili Arnold,S,6,0
2022,Oregon State,John Dunmore,WR,4,1
2022,Oregon State,Joe Golden,IDL,2,-2
2022,Oregon State,Deshaun Fenwick,RB,-7,-14
2022,Oregon State,Tre'Shaun Harrison,WR,-9,-18
2022,Penn State,Sean Clifford,QB,79,28
2022,Penn State,Ji'Ayir Brown,S,60,34
2022,Penn State,Kalen King,CB,41,21
2022,Penn State,Chop Robinson,Edge,36,20
2022,Penn State,Abdul Carter,LB,36,17
2022,Penn State,Kaytron Allen,RB,35,25
2022,Penn State,Adisa Isaac,Edge,34,17
2022,Penn State,Juice Scruggs,C,34,8
2022,Penn State,Curtis Jacobs,LB,33,14
2022,Penn State,Sal Wormley,RG,25,1
2022,Penn State,Hakeem Beamon,IDL,25,11
2022,Penn State,Joey Porter Jr.,CB,24,8
2022,Penn State,Johnny Dixon,CB,24,7
2022,Penn State,Jonathan Sutherland,LB,22,8
2022,Penn State,Olumuyiwa Fashanu,LT,22,6
2022,Penn State,Amin Vanover,Edge,20,11
2022,Penn State,Marquis Wilson,CB,20,9
2022,Penn State,Bryce Effner,RT,19,0
2022,Penn State,Theo Johnson,TE,18,6
2022,Penn State,Nick Tarburton,Edge,18,5
2022,Penn State,Parker Washington,WR,18,11
2022,Penn State,Zakee Wheatley,S,17,3
2022,Penn State,PJ Mustipher,IDL,17,1
2022,Penn State,Brenton Strange,TE,16,2
2022,Penn State,Drew Allar,QB,16,7
2022,Penn State,Mitchell Tinsley,WR,16,6
2022,Penn State,Tyler Elsdon,LB,15,0
